Internal Part #,Op #,Dim Tag #,Ref Loc,Char Dsg,Spec Unit 1,Drawing Spec,Spec Unit 2,Spec Unit 3,Inspec Equip,Nom Dim,Tol ±,IPC?,Inspection Frequency,Show Dim When?
,,1,S1,,,33.0,,,,33.0,0.5,,,
,,2,S1,,,25.0,,,,25.0,0.1,,,
,,3,S1,,,12.5,,,,12.5,0.1,,,
,,4,S1,,,8.00,,,,8.00,0.05,,,
,,5,S1,,,4.0,,,,4.0,0.1,,,
,,6,S1,,,16.5,,,,16.5,0.3,,,
,,7,S1,,Ø,3.5,,,,3.5,0.1,,,
,,8,S1,,Ø,9.0,,,,9.0,0.3,,,
,,9,S1,,Ø,3.3,,2x,,3.3,0.1,,,
,,10,S1,,,5.0,,,,5.0,0.1,,,
,,11,S1,,,2.0,,4x,,2.0,0.1,,,
,,12,S1,,,3.0,,,,3.0,0.5,,,
,,13,S1,,,15.0,,,,15.0,0.3,,,
,,14,S1,,,BREAK AND DEBURR ALL SHARP EDGES.,,,,,,,,
,,15,S1,,,BAG AND TAG PART WITH PART NO. AND REV LABELLED.,,,,,,,,
,,16,S1,,,INVAR 36,,,,,,,,
